,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD
2011-11-08,1.036242,1.0374255,1.0418453,1.0377176,1.0410036,1.0468981,1.0385941
2011-11-09,1.0391579,1.0373391,1.0478795,1.0473466,1.0361537,1.0398281,1.0409341
2011-11-10,1.0423925,1.0410699,1.0348686,1.0413485,1.0431161,1.0402641,1.0422093
2011-11-11,1.0407304,1.0422251,1.037562,1.0437026,1.0438765,1.0420345,1.040897
2011-11-13,1.034049,1.0440179,1.0414696,1.0469223,1.0411711,1.0423106,1.0400453
2011-11-14,1.0378968,1.0378667,1.0414163,1.0415897,1.041352,1.0407554,1.0425508
2011-11-15,1.0412173,1.0418656,1.0425677,1.0412707,1.0395098,1.0413287,1.0431095
2011-11-16,1.0489767,1.0418429,1.0423337,1.0422177,1.038533,1.0402311,1.0402491
2011-11-17,1.0417607,1.0426852,1.0423613,1.0441899,1.0416495,1.0428222,1.0399703
2011-11-18,1.0417383,1.0382781,1.0434606,1.0458083,1.0403231,1.0409687,1.0436994
2011-11-20,1.0437303,1.0402683,1.0433009,1.0443184,1.0436819,1.0422857,1.0412781
2011-11-21,1.0431817,1.0417131,1.0432996,1.0430954,1.041199,1.0409578,1.0437324
2011-11-22,1.0467113,1.0414371,1.0398883,1.0406591,1.0407481,1.0409148,1.0401127
2011-11-23,1.0409372,1.0400612,1.0434182,1.0416071,1.040852,1.04234,1.0438931
2011-11-24,1.0423607,1.0405294,1.0408416,1.0438647,1.0414418,1.0396714,1.0405022
2011-11-25,1.0427235,1.0381527,1.043197,1.0402749,1.0396948,1.0411198,1.0398927
2011-11-27,1.0399375,1.0427752,1.0448707,1.0410539,1.0396243,1.039381,1.040668
2011-11-28,1.0406172,1.0410988,1.0395988,1.0390353,1.0406296,1.0401719,1.0403144
2011-11-29,1.0417295,1.0432729,1.0406475,1.0409062,1.0407596,1.0370076,1.037526
2011-11-30,1.0406773,1.0397325,1.041048,1.03898,1.0433252,1.0419331,1.0374006
2011-12-01,1.0408132,1.0394326,1.0407804,1.0408981,1.0416312,1.0437187,1.0378604
2011-12-02,1.0402137,1.0426403,1.036835,1.0385633,1.0367222,1.039176,1.0396485
2011-12-04,1.0399991,1.0419382,1.0427679,1.0422807,1.0395032,1.0409827,1.0386463
2011-12-05,1.0403843,1.0422027,1.0417002,1.0386529,1.0407419,1.0395057,1.0370816
2011-12-06,1.0395613,1.0386276,1.040216,1.0374284,1.0382752,1.0384672,1.038006
2011-12-07,1.0385191,1.0410099,1.0406405,1.0415177,1.0374238,1.0398015,1.0378797
2011-12-08,1.0388076,1.040187,1.0383343,1.0371637,1.0373936,1.0384917,1.0379038
2011-12-09,1.039068,1.0376688,1.0381958,1.0390533,1.0378481,1.0349141,1.0366179
2011-12-11,1.0380051,1.0396631,1.0369273,1.0394772,1.0337557,1.0374874,1.0375733
