,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF
2011-12-27,305.27014,305.33737,305.3603,305.301,305.3224,305.3011,305.33405
2011-12-28,305.3438,305.36826,305.3155,305.33603,305.34494,305.30606,305.28876
2011-12-29,305.35883,305.30872,305.3243,305.31952,305.3222,305.35223,305.3261
2011-12-30,305.28397,305.33444,305.37292,305.35153,305.34506,305.30072,305.37943
2012-01-02,305.26877,305.32263,305.3249,305.33197,305.32214,305.4079,305.42517
2012-01-03,305.3445,305.35526,305.33206,305.27426,305.4283,305.3925,306.17908
2012-01-04,305.3599,305.33057,305.33792,305.3971,305.3915,306.2279,306.23398
2012-01-05,305.28323,305.31558,305.3691,305.45688,306.2878,306.21826,306.22946
2012-01-06,305.26767,305.44995,305.41034,306.22046,306.22934,306.20117,306.26694
2012-01-08,305.38058,305.36673,306.2295,306.23474,306.22052,306.23444,306.2078
2012-01-09,305.4355,306.20056,306.2208,306.24063,306.26755,306.22696,306.20538
2012-01-10,306.295,306.22018,306.23624,306.2608,306.2474,306.213,306.24966
2012-01-11,306.273,306.2644,306.2023,306.22385,306.2364,306.2403,306.23233
2012-01-12,306.1767,306.23123,306.22296,306.18558,306.18237,306.27783,306.67227
2012-01-13,306.224,306.21298,306.2835,306.2452,306.2166,306.58084,306.65295
2012-01-15,306.21768,306.27255,306.24045,306.2149,306.61725,306.66904,306.5927
2012-01-16,306.23297,306.17572,306.16132,306.68118,306.62158,306.6257,306.63568
2012-01-17,306.24362,306.14792,306.71317,306.68402,306.6301,306.68024,306.71442
2012-01-18,306.25058,306.68176,306.64783,306.63705,306.6461,306.61316,306.6861
2012-01-19,306.61084,306.6227,306.64398,306.6475,306.66116,306.59244,306.6189
2012-01-20,306.668,306.62042,306.68124,306.66382,306.60968,306.65012,306.6572
2012-01-22,306.62445,306.6647,306.5838,306.67264,306.62106,306.6455,306.6394
2012-01-23,306.62482,306.64725,306.62433,306.67722,306.68658,306.68433,306.67413
2012-01-24,306.68573,306.69043,306.61072,306.67984,306.6564,306.62296,306.65308
2012-01-25,306.64606,306.64514,306.62427,306.64127,306.61426,306.62048,306.59146
2012-01-26,306.6515,306.6328,306.65768,306.60544,306.66776,306.6663,306.6354
2012-01-27,306.65817,306.5746,306.64658,306.61865,306.62976,306.6484,306.7158
2012-01-29,306.61157,306.65384,306.70218,306.62576,306.64886,306.6929,306.6866
2012-01-30,306.60895,306.70975,306.63547,306.62952,306.6126,306.64645,306.6182
2012-01-31,306.667,306.6556,306.62637,306.6314,306.61383,306.63412,306.65738
2012-02-01,306.62207,306.60797,306.67154,306.64456,306.61624,306.62585,306.63928
2012-02-02,306.6218,306.57904,306.66696,306.6651,306.62076,306.62027,306.26636
2012-02-03,306.6833,306.66904,306.65973,306.67596,306.62946,306.23587,305.9611
2012-02-05,306.6421,306.62466,306.6019,306.68192,306.2046,305.82617,304.0335
