,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
2011-12-06,33.39274,33.402527,33.414482,33.386314,32.966415,32.848724,32.83062
2011-12-07,33.398605,33.417747,33.41462,32.993217,32.914986,32.797707,32.544502
2011-12-08,33.409447,33.402206,33.02189,32.872177,32.766823,32.5431,32.496216
2011-12-09,33.3861,32.97297,32.860313,32.74736,32.538292,32.506897,32.348442
2011-12-11,32.988182,32.904526,32.793808,32.49582,32.452812,32.427498,32.31414
2011-12-12,32.875633,32.762848,32.540955,32.473816,32.444893,32.295975,32.206596
2011-12-13,32.748947,32.549187,32.499023,32.448715,32.369957,32.20008,32.18943
2011-12-14,32.513474,32.50711,32.4532,32.31243,32.17215,32.175713,32.16388
2011-12-15,32.47232,32.409325,32.352806,32.249344,32.178314,32.114372,32.02565
2011-12-16,32.443344,32.25344,32.194168,32.163757,32.14856,32.01892,32.002136
2011-12-18,32.2482,32.258347,32.129562,32.089363,32.0503,32.011497,31.983177
2011-12-19,32.22396,32.17119,32.120308,32.042404,32.02919,31.972229,31.94078
2011-12-20,32.130775,32.15921,32.0587,31.995453,31.98339,31.909744,31.892502
2011-12-21,32.093445,32.057755,32.01725,31.974304,31.944473,31.887985,31.887085
2011-12-22,32.06328,32.007744,31.993706,31.940384,31.92797,31.949905,31.863846
2011-12-23,31.976799,31.987305,31.939178,31.903145,31.87642,31.817238,31.801888
2011-12-27,31.968422,31.921303,31.87938,31.872734,31.878418,31.828514,31.637222
2011-12-28,31.90905,31.872505,31.867424,31.810295,31.840637,31.624374,31.423126
2011-12-29,31.933937,31.875511,31.82518,31.821754,31.645187,31.404655,31.3387
2011-12-30,31.91304,31.839539,31.828072,31.703842,31.400917,31.33046,31.24443
2012-01-02,31.84874,31.796661,31.644768,31.403198,31.316093,31.25399,31.065346
2012-01-03,31.825394,31.650612,31.41529,31.277672,31.270874,31.077164,29.60257
2012-01-04,31.647049,31.381569,31.30066,31.218727,31.102188,29.568283,29.560905
2012-01-05,31.407883,31.323456,31.231277,31.025711,29.594856,29.597786,29.563225
2012-01-06,31.300362,31.248436,31.063965,29.630287,29.577705,29.560379,29.589935
2012-01-08,31.212952,31.1055,29.676239,29.566063,29.5588,29.558945,29.559807
2012-01-09,31.083649,29.62674,29.59639,29.581604,29.597137,29.609146,29.562828
2012-01-10,29.589882,29.549446,29.594986,29.565865,29.576553,29.570488,29.590263
2012-01-11,29.566444,29.557861,29.580643,29.581612,29.562683,29.56633,29.55909
2012-01-12,29.573845,29.589645,29.573082,29.565475,29.585861,29.5886,29.562057
2012-01-13,29.604279,29.5615,29.591019,29.581863,29.556915,29.58226,29.591293
2012-01-15,29.554901,29.58358,29.590065,29.565216,29.566605,29.575745,29.55851
2012-01-16,29.564613,29.609573,29.582054,29.582115,29.586395,29.596718,29.561478
2012-01-17,29.535843,29.589188,29.567749,29.564964,29.588669,29.559273,29.591484
2012-01-18,29.561874,29.509262,29.593132,29.582184,29.604027,29.556328,29.55729
2012-01-19,29.518341,29.555916,29.56443,29.564827,29.595497,29.56849,29.560959
2012-01-20,29.555626,29.572784,29.564209,29.582504,29.580025,29.559692,29.592072
2012-01-22,29.56501,29.567871,29.559265,29.564697,29.58525,29.585197,29.557167
2012-01-23,29.565231,29.585709,29.583786,29.582634,29.594574,29.606285,29.560394
2012-01-24,29.598465,29.578651,29.60527,29.564697,29.542786,29.554787,29.592583
2012-01-25,29.57434,29.602707,29.59552,29.582764,29.605042,29.564606,29.55677
2012-01-26,29.582039,29.546402,29.562119,29.564377,29.55465,29.56894,29.685196
2012-01-27,29.587524,29.568184,29.555199,29.582771,29.565208,29.729073,29.82521
2012-01-29,29.563652,29.561035,29.576424,29.564377,29.661964,29.729836,29.809471
