,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-11-03,1.4090915,1.4060501,1.4086797,1.4126211,1.4109814,1.4078418,1.4126053
2011-11-04,1.4076219,1.4084973,1.4149492,1.410334,1.4167029,1.4204302,1.4137605
2011-11-06,1.4084092,1.411183,1.4107208,1.4107523,1.4150339,1.4132807,1.4130763
2011-11-07,1.4080017,1.4141359,1.4138547,1.4193535,1.4129816,1.4088044,1.4223247
2011-11-08,1.412681,1.4133877,1.4112753,1.412934,1.4187716,1.4164405,1.4173207
2011-11-09,1.416369,1.4056741,1.4213241,1.4157507,1.4139014,1.420068,1.4109923
2011-11-10,1.4179094,1.4092455,1.4127667,1.4184295,1.4152272,1.4184924,1.4119022
2011-11-11,1.411118,1.41463,1.41196,1.4147406,1.4201876,1.416012,1.4196532
2011-11-13,1.408573,1.4126811,1.4185971,1.4157791,1.4157479,1.4191235,1.418306
2011-11-14,1.4160932,1.4164201,1.4194643,1.4143898,1.4158475,1.4171642,1.4158926
2011-11-15,1.417831,1.4149809,1.4196213,1.4181799,1.4109596,1.4162062,1.4185594
2011-11-16,1.4159516,1.4203653,1.4130363,1.4160018,1.4169407,1.4149187,1.4123884
2011-11-17,1.4196651,1.414613,1.4202528,1.4142909,1.4116293,1.4178357,1.4162661
2011-11-18,1.4160047,1.414638,1.4158854,1.4140735,1.4149721,1.4132664,1.4171618
2011-11-20,1.4210929,1.4194549,1.4128672,1.4169734,1.4196028,1.4221318,1.4164419
2011-11-21,1.4156922,1.4158401,1.4162728,1.4168965,1.4156342,1.4180626,1.4204214
2011-11-22,1.4151179,1.4188575,1.4185398,1.4154667,1.4166074,1.4202232,1.4241586
2011-11-23,1.4193158,1.4217438,1.4147836,1.4171221,1.4202776,1.4228212,1.428198
2011-11-24,1.4124228,1.4218084,1.4188201,1.4212164,1.4269866,1.4296063,1.4277496
2011-11-25,1.4153198,1.4181503,1.4207745,1.4214668,1.4284217,1.4332161,1.4324524
2011-11-27,1.417691,1.4173635,1.4266753,1.4282731,1.4277408,1.4314191,1.433739
2011-11-28,1.4203686,1.4263953,1.4244039,1.4234724,1.4308461,1.4314224,1.4352827
2011-11-29,1.4217048,1.4274148,1.4282051,1.4269621,1.4272801,1.4324229,1.4328179
2011-11-30,1.4246346,1.4276426,1.4289272,1.4309083,1.431904,1.4280992,1.4334927
2011-12-01,1.4256693,1.4302211,1.43251,1.4308037,1.4354359,1.4343431,1.4325888
2011-12-02,1.4324559,1.4330558,1.427643,1.4327848,1.4323257,1.4334067,1.4346532
2011-12-04,1.4282901,1.4345567,1.4311728,1.4327967,1.433344,1.4300554,1.4370086
2011-12-05,1.432089,1.437921,1.432142,1.4387329,1.4344475,1.4428526,1.4495333
2011-12-06,1.4334668,1.434978,1.4400921,1.4357033,1.4382613,1.441289,1.4390986
2011-12-07,1.4349631,1.4352548,1.4396281,1.4388049,1.443307,1.4397461,1.4411249
2011-12-08,1.4380198,1.4360479,1.4370515,1.4325233,1.4332318,1.4442334,1.4353054
2011-12-09,1.4370105,1.4301516,1.4412749,1.4275424,1.440632,1.4420028,1.4375608
2011-12-11,1.4361885,1.4387777,1.440545,1.4399631,1.4387536,1.4394244,1.4417953
2011-12-12,1.4362798,1.4371432,1.4323714,1.4416528,1.4498291,1.4480662,1.4447091
