,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
2011-10-18,0.8958099,0.8969184,0.8981271,0.89723915,0.89649427,0.8980937,0.8982501
2011-10-19,0.8971636,0.8951698,0.9001034,0.8987523,0.89653116,0.8977723,0.8987001
2011-10-20,0.8982231,0.90018016,0.9003201,0.8971012,0.8975688,0.89863634,0.90039563
2011-10-21,0.89829606,0.89726925,0.89839834,0.8978903,0.896963,0.89704376,0.8976826
2011-10-23,0.8976382,0.8987909,0.89960945,0.896677,0.8988875,0.89808106,0.89723384
2011-10-24,0.89891773,0.8977867,0.8988324,0.89856935,0.8980535,0.89771146,0.89809
2011-10-25,0.9001591,0.9003514,0.8979208,0.8984398,0.89923644,0.8980732,0.89753526
2011-10-26,0.8967563,0.8966826,0.89835453,0.8977355,0.8991576,0.89843893,0.89823425
2011-10-27,0.8980366,0.8968602,0.8978129,0.8981641,0.897304,0.8981172,0.897996
2011-10-28,0.89816046,0.89674526,0.8985855,0.89803404,0.8986505,0.89772326,0.89850146
2011-10-30,0.8982621,0.8975272,0.8978297,0.89967793,0.8960301,0.8988386,0.89830786
2011-10-31,0.8978156,0.89693,0.898907,0.89882636,0.8992368,0.8977666,0.8975427
2011-11-01,0.89684194,0.89759415,0.8974514,0.8984112,0.89811015,0.89799505,0.8975976
2011-11-02,0.8975502,0.8973784,0.89863217,0.8970369,0.89790803,0.8963184,0.89671254
2011-11-03,0.8971181,0.89646256,0.89784586,0.8977652,0.89692664,0.8976839,0.8974541
2011-11-04,0.8968713,0.8968656,0.89742935,0.89665306,0.8971794,0.89811325,0.89712644
2011-11-06,0.8990724,0.89733195,0.89685374,0.89693123,0.89709634,0.8961944,0.8961932
2011-11-07,0.8972455,0.89612347,0.8969077,0.8967376,0.89703,0.89713204,0.8977831
2011-11-08,0.8962965,0.89698905,0.8971341,0.89701414,0.89773345,0.897794,0.8973574
2011-11-09,0.8972968,0.8971252,0.89685845,0.89732736,0.897376,0.89868015,0.89778626
2011-11-10,0.8966138,0.8972374,0.89655095,0.8979647,0.8975062,0.89673764,0.8973436
2011-11-11,0.8976097,0.89687514,0.896385,0.8972,0.8969067,0.89614046,0.8977999
2011-11-13,0.8973491,0.8979297,0.89712924,0.8972705,0.89777243,0.8980017,0.8973294
2011-11-14,0.89766157,0.89776546,0.89794666,0.89801025,0.8977863,0.8982309,0.89781433
2011-11-15,0.8972149,0.8974265,0.8987689,0.8971682,0.8960159,0.8975252,0.89731526
2011-11-16,0.8974647,0.89793384,0.8980754,0.89724606,0.8977876,0.8977194,0.8978296
2011-11-17,0.8976801,0.897789,0.8973883,0.8980586,0.89683014,0.89801073,0.8973002
2011-11-18,0.89718777,0.8974885,0.8966238,0.8971349,0.8986034,0.89712715,0.89784485
2011-11-20,0.89746356,0.89721906,0.8965679,0.89722073,0.8980245,0.8973286,0.8972851
2011-11-21,0.897701,0.8970693,0.8965176,0.8981103,0.8965758,0.8965308,0.89786065
2011-11-22,0.8971603,0.8967814,0.8972532,0.89709955,0.8980859,0.89670527,0.90065473
2011-11-23,0.8974625,0.89731276,0.8980622,0.8971937,0.89808166,0.89996046,0.89806914
2011-11-24,0.89772236,0.8980888,0.8964594,0.89816386,0.8993887,0.89822286,0.9018979
2011-11-25,0.89713,0.8978632,0.8971678,0.89869404,0.90158916,0.90079784,0.90058124
2011-11-27,0.89746106,0.8985642,0.8991952,0.8996585,0.89961326,0.90152705,0.9021071
2011-11-28,0.8977449,0.89945835,0.9002577,0.89900136,0.9028634,0.90220433,0.90469986
2011-11-29,0.89941674,0.90083396,0.90088683,0.9007871,0.9029582,0.90449715,0.90569586
2011-11-30,0.9007716,0.900097,0.90116334,0.9028867,0.9047568,0.9054401,0.9065859
2011-12-01,0.89941245,0.9016498,0.90229017,0.9049469,0.9050875,0.9073165,0.91372216
2011-12-02,0.9009652,0.90490246,0.90403247,0.905628,0.90728813,0.9134935,0.91459244
2011-12-04,0.90318155,0.9036915,0.9059511,0.9065435,0.9138936,0.9142951,0.914748
2011-12-05,0.9062845,0.90527904,0.9062583,0.91348183,0.9147393,0.9160821,0.9150275
2011-12-06,0.90658236,0.90730286,0.91281253,0.9151388,0.9118822,0.91658515,0.91899914
2011-12-07,0.9066537,0.91365623,0.9110104,0.9158902,0.9169297,0.917365,0.9152538
2011-12-08,0.91264164,0.9148789,0.91514593,0.9152217,0.91667056,0.91657317,0.91772425
2011-12-09,0.9135949,0.9145002,0.9147067,0.91622007,0.9175571,0.91805,0.9167131
